Asset Class,Asset,Sub-number,Eval. Grp 1-Block,Asset Description,    Acquis.val.,      Book val.
30000,300000014.0,0.0,B072,NISSAN NAVARA NP3000 DOUBLE CAB 2.5L (4WD) SS1065Y,126674.6,1.0
30000,300000034.0,0.0,B072,NISSAN X-TRAIL - WRH 9467 07-0,135047.8,1.0
30000,300000064.0,0.0,B072,ISUZU D-MAX 3.0 4x4 (M) WUS9671,94180.2,1.0
30000,300000104.0,0.0,B072,TOYOTA FORTUNER 2.5G (D) AT WC2949C,154572.67,1.0
30000,300000211.0,0.0,B072,VNK 9453 TOYOTA FORTUNER 2.7 SRZ A/T,203680.0,159549.33
30000,300000238.0,0.0,B072,VPE 8156 TOYOTA HILUX 2.4V 4WD,153465.0,140676.25
30000,300000005.0,0.0,B039,SS1063Y NISSAN NAVARA NP3000 DOUBLE CAB 2.5L (4WD),126674.6,1.0
30000,300000084.0,0.0,B039,WWQ 5043 TOYOTA HILUX DOUBLE CAB,103513.8,1.0
30000,300000106.0,0.0,B039,NISSAN X-TRAIL 2.0L CVT WC8536D,136255.6,1.0
30000,300000108.0,0.0,B039,WC8446D TOYOTA HILUX DOUBLE CAB 2.5 AT,92187.22,1.0
30000,300000109.0,0.0,B039,WC2076C TOYOTA HIACE WINDOE VAN 2.7(P),91967.83,1.0
30000,300000165.0,0.0,B039,SYC134 TOYOTA FORTUNER 2.4 DIESEL,200575.6,1.0
30000,300000195.0,0.0,B039,VLC 7549 TOYOTA FORTUNER 2.4L AT,192253.0,108943.37
30000,300000216.0,0.0,B039,VNJ 4660 TOYOTA INNOVA ZENITH 2.0V,170573.5,133615.91
30000,300000233.0,0.0,B030,VPH 6026 HONDA CRV 1.5L E,175574.0,158016.6
30000,300000008.0,0.0,B038,VM3694 NISSAN NAVARA NP3000 DOUBLE 2.5L (4WD),123691.59,1.0
30000,300000069.0,0.0,B038,WUS3845 NISSAN X-TRAIL 2.0L (A),123834.1,1.0
30000,300000112.0,0.0,B038,WC160K NISSAN X-TRAIL 2.0 CVT,130590.95,1.0
30000,300000148.0,0.0,B038,VAY6537 NISSAN X-TRAIL 2.0,125882.2,1.0
30000,300000189.0,0.0,B038,VKR 4708 HONDA CRV 1.5L TC-P (2WD),169353.0,81853.95
30000,300000190.0,0.0,B038,VKR 3851 HONDA CRV 1.5L TC-P (2WD),169353.0,81853.95
30000,300000202.0,0.0,B038,VNF 136 HONDA CRV 1.5T E 2WD,166921.1,130754.86
30000,300000012.0,0.0,B044,VM3754 NISSAN NAVARA NP3000 DOUBLE CAB 2.5L (4WD),123691.59,1.0
30000,300000111.0,0.0,B044,WC2528K NISSAN X-TRAIL 2.0 CVT,130590.95,1.0
