Asset Class,Detail
10000,Leasehold Land-60yrs
11000,Leasehold Land-99yrs
12000,Freehold Land
13000,Leasehold Land-77yrs
20000,Buildings
21000,Own Buildings - Reno
22000,Rented Building-Reno
30000,Motor Vehicles
40000,Office Equipment
41000,Furnitures & Fitting
50000,LVA-OE
51000,LVA-Computer
52000,LVA-Mach.&Equip
53000,LVA-F&F
54000,LVA-UB SEWA
60000,Plant & Machinery
61000,Machinery &Equipment
70000,Computer
80000,Pengkalan Data
81000,Perisian Komputer
82000,Lesen
90000,AUC - Lands
91000,AUC - Buildings
92000,AUC - Computer
